configuration,surface,coils_per_half_period,total_coils,surface_runtime_s,current_solve_runtime_s,sheet_f_B_T2_m2,sheet_max_abs_Bn_over_B,sheet_Kmax_A_per_m,filament_f_B_T2_m2,filament_max_abs_Bn_over_B,mean_coil_length_m,mean_curvature2_per_m2,maximum_curvature_per_m
QH,normal offset,4,32,0.0,0.9020100840134546,25.199291771057762,0.06434329535552157,10000000.000000427,113.38726837520767,0.1334062152927558,22.442387051976688,0.11070315622501062,0.8732035792229319
QH,normal offset,5,40,0.0,0.9020100840134546,25.199291771057762,0.06434329535552157,10000000.000000427,50.89399927716976,0.08304207304680834,22.442747202586474,0.10707693697400308,0.831462985874731
QH,normal offset,6,48,0.0,0.9020100840134546,25.199291771057762,0.06434329535552157,10000000.000000427,32.85057516368753,0.06608122010593417,22.44305817988345,0.10999412759213674,7.1251040297375
QH,normal offset,7,56,0.0,0.9020100840134546,25.199291771057762,0.06434329535552157,10000000.000000427,27.61687044410609,0.06409252126257649,22.443416229342972,0.11017543579513557,0.8214476692606919
QH,normal offset,8,64,0.0,0.9020100840134546,25.199291771057762,0.06434329535552157,10000000.000000427,26.07451838083322,0.06446645898190774,22.443482319879266,0.11097472892484724,0.8647632416365972
QH,normal offset,9,72,0.0,0.9020100840134546,25.199291771057762,0.06434329535552157,10000000.000000427,25.610418392141796,0.06467666344725968,22.443609149453177,0.11009800730955639,0.9073146744307697
QH,normal offset,10,80,0.0,0.9020100840134546,25.199291771057762,0.06434329535552157,10000000.000000427,25.47316946727144,0.06457267775618716,22.443477822324287,0.10810078159533221,0.8291375600888189
QH,ESSOS entropy,3,24,1.102506708004512,1.1384975829860196,17.48170084681255,0.05280969292610124,9999999.999999756,317.82988685381594,0.20541815854209658,22.31529911923981,0.11842789184897666,0.8335757474866098
QH,ESSOS entropy,4,32,1.102506708004512,1.1384975829860196,17.48170084681255,0.05280969292610124,9999999.999999756,102.42278677088493,0.11621282679296172,22.320274660521104,0.11695741999797878,0.8200118421608481
QH,ESSOS entropy,5,40,1.102506708004512,1.1384975829860196,17.48170084681255,0.05280969292610124,9999999.999999756,41.03461658627451,0.06631629467162972,22.32196537600694,0.11447340362089475,0.8032382825580968
QH,ESSOS entropy,6,48,1.102506708004512,1.1384975829860196,17.48170084681255,0.05280969292610124,9999999.999999756,24.07121645274156,0.05530374055733462,22.3226829737916,0.11578612070876025,0.8992024392807116
QH,ESSOS entropy,7,56,1.102506708004512,1.1384975829860196,17.48170084681255,0.05280969292610124,9999999.999999756,19.426777129155944,0.052994616109559266,22.322894854470565,0.11458105200561512,0.8512723602171993
QH,ESSOS entropy,8,64,1.102506708004512,1.1384975829860196,17.48170084681255,0.05280969292610124,9999999.999999756,18.14534990233704,0.05341193236939249,22.323177250202896,0.11598867876092589,0.824694810308496
QH,ESSOS entropy,9,72,1.102506708004512,1.1384975829860196,17.48170084681255,0.05280969292610124,9999999.999999756,17.790862348427172,0.053097489883918186,22.32332038083132,0.11846200042635344,0.8459878110745018
QH,ESSOS entropy,10,80,1.102506708004512,1.1384975829860196,17.48170084681255,0.05280969292610124,9999999.999999756,17.68702721161682,0.05297641639720442,22.322989803639942,0.11432647333970843,0.948653184623728
QH,finite-coil SVD,3,24,21.52494629099965,1.010058082989417,6.7794927139550865,0.035122794706840176,9999999.999995505,296.9152265608717,0.20403439486323663,22.45136721926229,0.11299921892651611,0.9630690115173952
QH,finite-coil SVD,4,32,21.52494629099965,1.010058082989417,6.7794927139550865,0.035122794706840176,9999999.999995505,88.27209389325483,0.11472724310850106,22.449487844602235,0.11159806810152545,0.966394402215129
QH,finite-coil SVD,5,40,21.52494629099965,1.010058082989417,6.7794927139550865,0.035122794706840176,9999999.999995505,29.173753392737506,0.0654325815095314,22.449605043833877,0.11468522048778158,1.0188733756111352
QH,finite-coil SVD,6,48,21.52494629099965,1.010058082989417,6.7794927139550865,0.035122794706840176,9999999.999995505,12.960787787318406,0.04002932910417722,22.44969490099685,0.11395654323130712,0.8899947299067457
QH,finite-coil SVD,7,56,21.52494629099965,1.010058082989417,6.7794927139550865,0.035122794706840176,9999999.999995505,8.537312399833784,0.03607108986124661,22.449842843972508,0.11656551920472166,3.434688502266951
QH,finite-coil SVD,8,64,21.52494629099965,1.010058082989417,6.7794927139550865,0.035122794706840176,9999999.999995505,7.331842175500543,0.03531411038212693,22.449788849039784,0.1140379744951481,1.0695427953112004
QH,finite-coil SVD,9,72,21.52494629099965,1.010058082989417,6.7794927139550865,0.035122794706840176,9999999.999995505,7.000264746336006,0.035173615753865115,22.450027172284464,0.11703815733639772,1.931215980754641
QH,finite-coil SVD,10,80,21.52494629099965,1.010058082989417,6.7794927139550865,0.035122794706840176,9999999.999995505,6.906880327162913,0.035127854463747034,22.449853650085522,0.11232223147637357,0.8899947299067457
W7-X,normal offset,3,30,0.0,1.0557065420143772,5.895291281450133,0.2595749630943576,10000000.0,8.860327910674474,0.32823389213873855,7.279506192529351,5.308077294600509,55.43281531787525
W7-X,normal offset,4,40,0.0,1.0557065420143772,5.895291281450133,0.2595749630943576,10000000.0,6.482099138403222,0.2816206281386278,7.283122240917464,3.3820115324363025,36.45438592252844
W7-X,normal offset,5,50,0.0,1.0557065420143772,5.895291281450133,0.2595749630943576,10000000.0,5.999169919161787,0.27570691059226454,7.281162949182368,5.536546011717231,55.43281531787525
W7-X,normal offset,6,60,0.0,1.0557065420143772,5.895291281450133,0.2595749630943576,10000000.0,5.936697810400009,0.2645783353482439,7.285124088903321,3.299067613795352,34.878937773679546
W7-X,normal offset,7,70,0.0,1.0557065420143772,5.895291281450133,0.2595749630943576,10000000.0,5.9120813389232545,0.25984806566863394,7.283331671094756,4.724429173548407,55.43281531787525
W7-X,normal offset,8,80,0.0,1.0557065420143772,5.895291281450133,0.2595749630943576,10000000.0,5.908432876350661,0.258726282114892,7.282328058550857,5.090509399058177,71.88009427683532
W7-X,normal offset,9,90,0.0,1.0557065420143772,5.895291281450133,0.2595749630943576,10000000.0,5.909143902128308,0.2603939616406425,7.2822807403642145,4.425822515915252,55.43281531787525
W7-X,normal offset,10,100,0.0,1.0557065420143772,5.895291281450133,0.2595749630943576,10000000.0,5.908728560155477,0.2601985381917504,7.282372110298797,4.932937390172466,66.46274650638892
W7-X,ESSOS entropy,3,30,1.3973833749914775,1.04618458301411,9.0568368546982,0.2832006593244467,9999999.999999426,12.201913471237695,0.3704872214337178,7.209949703915327,6.797301498424868,67.34582316484612
W7-X,ESSOS entropy,4,40,1.3973833749914775,1.04618458301411,9.0568368546982,0.2832006593244467,9999999.999999426,9.678110524349085,0.30897586344598493,7.218839494003637,4.957023376889635,47.8503933233654
W7-X,ESSOS entropy,5,50,1.3973833749914775,1.04618458301411,9.0568368546982,0.2832006593244467,9999999.999999426,9.1710249053896,0.2987268815216374,7.209946509031852,7.034349913107751,71.73317498640434
W7-X,ESSOS entropy,6,60,1.3973833749914775,1.04618458301411,9.0568368546982,0.2832006593244467,9999999.999999426,9.09605666792272,0.2900733946566801,7.222019781485405,4.662547605716326,56.05666418849497
W7-X,ESSOS entropy,7,70,1.3973833749914775,1.04618458301411,9.0568368546982,0.2832006593244467,9999999.999999426,9.073401098269867,0.2835722622011172,7.216970968819617,6.298727936930263,68.44818182168802
W7-X,ESSOS entropy,8,80,1.3973833749914775,1.04618458301411,9.0568368546982,0.2832006593244467,9999999.999999426,9.071601616227998,0.2811647024664981,7.215995353312744,6.064587774618657,77.495622192415
W7-X,ESSOS entropy,9,90,1.3973833749914775,1.04618458301411,9.0568368546982,0.2832006593244467,9999999.999999426,9.072015514885159,0.2811360622105357,7.216099321898277,5.2825887326537835,67.34582316484612
W7-X,ESSOS entropy,10,100,1.3973833749914775,1.04618458301411,9.0568368546982,0.2832006593244467,9999999.999999426,9.071778483592718,0.2819286691273418,7.216253328591137,6.052329736374141,97.11649350683057
W7-X,finite-coil SVD,3,30,2.0518627499986906,1.027116459008539,1.3144444276775924,0.14161635403832687,9999999.999983603,4.3790371316359336,0.23924257931807671,7.525093371920497,2.1609568353055613,7.73910808486075
W7-X,finite-coil SVD,4,40,2.0518627499986906,1.027116459008539,1.3144444276775924,0.14161635403832687,9999999.999983603,1.9101418921580764,0.18029270913686962,7.525970729874809,2.2276486562807327,9.398040636707458
W7-X,finite-coil SVD,5,50,2.0518627499986906,1.027116459008539,1.3144444276775924,0.14161635403832687,9999999.999983603,1.4341846136787146,0.16090213121707528,7.525375539119065,2.2053687748177433,7.391972277250861
W7-X,finite-coil SVD,6,60,2.0518627499986906,1.027116459008539,1.3144444276775924,0.14161635403832687,9999999.999983603,1.3426761896548869,0.14916733015494324,7.52567023861873,2.2691178102890244,11.104085612354785
W7-X,finite-coil SVD,7,70,2.0518627499986906,1.027116459008539,1.3144444276775924,0.14161635403832687,9999999.999983603,1.3257011035378814,0.14386485460718787,7.52551246327923,2.2637054563587475,9.128255667198205
W7-X,finite-coil SVD,8,80,2.0518627499986906,1.027116459008539,1.3144444276775924,0.14161635403832687,9999999.999983603,1.322325592300879,0.1427394937189966,7.525447764644687,2.164642545290454,9.269354052419736
W7-X,finite-coil SVD,9,90,2.0518627499986906,1.027116459008539,1.3144444276775924,0.14161635403832687,9999999.999983603,1.321787345167046,0.1415724071292354,7.52550357618218,2.1990407617756964,7.73910808486075
W7-X,finite-coil SVD,10,100,2.0518627499986906,1.027116459008539,1.3144444276775924,0.14161635403832687,9999999.999983603,1.3214355555912913,0.14181436185976642,7.525560876388307,2.2474417934208533,10.831918639809206
