radius_m,flux_radius_m,phi_rad,theory_delta_R_per_alpha_m,fit_delta_R_per_alpha_m,theory_delta_Z_per_alpha_m,fit_delta_Z_per_alpha_m
0.01486784368355039,0.01486784368355039,0.2699806186678728,0.00214664348871961,-0.00011824606723436535,0.0003002431588796011,-4.085574259072616e-05
0.01486784368355039,0.01486784368355039,0.28225246497095796,0.002152398298154117,-0.00011750082885640895,0.000313806715275629,-4.199004831198197e-05
0.01486784368355039,0.01486784368355039,0.2945243112740431,0.002158737947772755,-0.00011672407911424252,0.0003273253632726857,-4.302756682329609e-05
0.01486784368355039,0.01486784368355039,0.30679615757712825,0.002165077597391392,-0.00011591551125448551,0.0003408440112697424,-4.3963316862558414e-05
0.01486784368355039,0.01486784368355039,0.3190680038802134,0.0021718986832719627,-0.00011507386305323039,0.000354312784010632,-4.479226725659059e-05
0.01486784368355039,0.01486784368355039,0.3313398501832985,0.0021789750762611342,-0.00011419684351534755,0.00036775510775203895,-4.5509392517083914e-05
0.01486784368355039,0.01486784368355039,0.3436116964863836,0.002186140942457885,-0.0001132811087783786,0.0003811853323912759,-4.6109735111446225e-05
0.01486784368355039,0.01486784368355039,0.35588354278946877,0.0021939704016108535,-0.00011232228877714968,0.00039452582202275125,-4.658847231670867e-05
0.01486784368355039,0.01486784368355039,0.36815538909255385,0.002201799860763822,-0.0001113150638851511,0.0004078663116542266,-4.694098540711719e-05
0.01486784368355039,0.01486784368355039,0.380427235395639,0.0022100784026884007,-0.00011025328746791947,0.0004211295869474937,-4.716292886360684e-05
0.01486784368355039,0.01486784368355039,0.39269908169872414,0.0022186766306537867,-0.00010913014801937504,0.0004343378961016973,-4.7250297358820425e-05
0.01486784368355039,0.01486784368355039,0.4049709280018093,0.002227313633106302,-0.00010793836260391435,0.0004475379053621036,-4.7199488440237536e-05
0.01486784368355039,0.01486784368355039,0.4172427743048944,0.0022366951057117067,-0.00010667039133310007,0.00046057855666160137,-4.7007359075736395e-05
