method,configuration,surface_method,surface_runtime_s,surface_iterations,surface_converged,solver_converged,cold_runtime_s,steady_runtime_s,peak_memory_mb,sheet_f_B_T2_m2,sheet_max_abs_Bn_over_B,achieved_Kmax_A_per_m,filament_f_B_T2_m2,filament_max_abs_Bn_over_B,minimum_distance_m,self_intersection_radius_m,minimum_jacobian,solver_iterations,solver_max_constraint,solver_status
QUADCOIL,Landreman-Paul QH,normal offset,0.0,0,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,exceeded 6 min and 2.8 GB on QH
REGCOIL,Landreman-Paul QH,ESSOS entropy,1.102506708004512,13,True,True,0.556680999987293,0.2072993750043679,112.4375,17.481663433923472,0.05270502025772139,10000000.000000007,18.14527958323416,0.05341055723647328,1.4429133141737809,1.1442564729378275,19.695927498221952,,,
ESSOS,Landreman-Paul QH,ESSOS Pareto,32.41948670800775,7,False,True,2.9355223330203444,0.9051100840151776,1948.28125,6.263377237955128,0.031957958776798134,9999984.018176878,6.886415526863528,0.03245168701486994,1.4385410678385222,1.107478943474329,19.31456882315673,,,
REGCOIL,Landreman-Paul QH,ESSOS Pareto,32.41948670800775,7,False,True,0.697093833994586,0.08732158300699666,108.5,6.26326837786259,0.031957674852395715,10000000.0,6.886305624958823,0.03245140584759063,1.4385410678385222,1.107478943474329,19.31456882315673,,,
QUADCOIL,Landreman-Paul QH,ESSOS Pareto,32.41948670800775,7,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,exceeded 6 min and 2.8 GB on QH
REGCOIL,Landreman-Paul QH,REGCOIL adjoint,0.8128885830228683,1,True,True,0.5183520839782432,0.08307433300069533,118.390625,17.924533103660707,0.054538171118071056,10000000.0,18.68272880852352,0.05489467375689209,1.5761257942733866,1.2480845385075783,20.729790783227045,,,
ESSOS,W7-X,normal offset,0.0,0,True,True,3.147545083978912,1.3962868750095367,2208.75,4.500883703408207,0.2340292459083963,9993068.528194577,4.512196480848219,0.23342025335604946,0.44729848804908345,0.04165360374187564,0.2272098481379016,,,
REGCOIL,W7-X,normal offset,0.0,0,True,True,0.5361713329912163,0.0796279170026537,125.4375,4.496446683092342,0.23393111446973544,10000000.000000032,4.507747450832863,0.23332343596775873,0.44729848804908345,0.04165360374187564,0.2272098481379016,,,
QUADCOIL,W7-X,normal offset,0.0,0,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,did not converge in the matched study
REGCOIL,W7-X,ESSOS entropy,1.3973833749914775,15,True,True,0.5408424169872887,0.17848970901104622,116.171875,7.119007399448068,0.27073469072636863,9999999.999995885,7.133376232750162,0.2698436326864016,0.4369435913693559,0.047522448370841255,0.1333340517627275,,,
ESSOS,W7-X,ESSOS Pareto,39.24367224999878,71,True,True,2.752436167007545,1.4226992500189226,2338.40625,0.6332355376090449,0.10414590115077516,9993068.364142977,0.6398543412026537,0.10605913737403833,0.4410208779143191,0.054737419770971185,0.5646969103434087,,,
REGCOIL,W7-X,ESSOS Pareto,39.24367224999878,71,True,True,0.5073691669967957,0.07905762500013225,110.359375,0.6316522846625989,0.10403854799231095,10000000.000000026,0.6382638274451704,0.10595049566638357,0.4410208779143191,0.054737419770971185,0.5646969103434087,,,
QUADCOIL,W7-X,ESSOS Pareto,39.24367224999878,71,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,did not converge in the matched study
REGCOIL,W7-X,REGCOIL adjoint,2.8176061249978375,10,True,True,0.5234918750065845,0.08588025000062771,111.1875,7.9732377838071695,0.2736221901209074,10000000.000009747,7.988854054547307,0.27288377189721347,0.43746843813563246,0.04204392946295886,0.1041344080961024,,,
